timestamp,open,high,low,close,high_30,low_30,trade_score,buy_signal_column,sell_signal_column,regime_ok,buy_signal_column
2026-01-17 05:00:00+00:00,95344.740000,95383.380000,95250.840000,95294.500000,0,0,-0.027842,False,False,False,False
2026-01-17 06:00:00+00:00,95287.290000,95322.790000,95212.480000,95255.600000,0,0,-0.014735,False,False,False,False
2026-01-17 07:00:00+00:00,95233.040000,95233.040000,95060.970000,95077.620000,0,0,0.003782,False,False,False,False
2026-01-17 08:00:00+00:00,95088.680000,95259.610000,95044.610000,95259.610000,0,0,0.004282,False,False,False,False
2026-01-17 09:00:00+00:00,95246.430000,95271.380000,95172.460000,95257.540000,0,0,0.003855,False,False,False,False
2026-01-17 10:00:00+00:00,95263.550000,95274.000000,95113.130000,95113.130000,0,0,0.018596,False,False,False,False
2026-01-17 11:00:00+00:00,95102.760000,95298.610000,95069.470000,95294.600000,0,0,0.010975,False,False,False,False
2026-01-17 12:00:00+00:00,95307.970000,95401.780000,95232.630000,95243.940000,0,0,0.008837,False,False,False,False
2026-01-17 13:00:00+00:00,95248.960000,95442.050000,95190.580000,95413.130000,0,0,0.003091,False,False,False,False
2026-01-17 14:00:00+00:00,95413.380000,95544.080000,95372.940000,95460.160000,0,0,-0.011787,False,False,False,False
2026-01-17 15:00:00+00:00,95459.080000,95642.810000,95414.670000,95580.080000,0,0,-0.023591,False,False,False,False
2026-01-17 16:00:00+00:00,95572.440000,95572.440000,95216.090000,95306.810000,0,0,-0.016578,False,False,False,False
2026-01-17 17:00:00+00:00,95290.740000,95441.940000,95289.170000,95372.700000,0,0,-0.019533,False,False,False,False
2026-01-17 18:00:00+00:00,95378.080000,95476.670000,95350.780000,95428.920000,0,0,-0.034006,False,False,False,False
2026-01-17 19:00:00+00:00,95418.290000,95418.290000,95294.210000,95317.990000,0,0,-0.019900,False,False,False,False
2026-01-17 20:00:00+00:00,95296.680000,95387.030000,95285.560000,95375.440000,0,0,-0.019225,False,False,False,False
2026-01-17 21:00:00+00:00,95367.710000,95386.680000,95277.050000,95279.870000,0,0,-0.016679,False,False,False,False
2026-01-17 22:00:00+00:00,95316.430000,95316.430000,95050.000000,95192.760000,0,0,-0.003980,False,False,False,False
2026-01-17 23:00:00+00:00,95197.000000,95211.820000,95122.690000,95139.130000,0,0,0.000819,False,False,False,False
2026-01-18 00:00:00+00:00,95143.440000,95248.490000,95058.760000,95123.430000,0,1,0.002558,False,False,False,False
2026-01-18 01:00:00+00:00,95113.800000,95113.800000,94800.040000,94956.250000,0,0,0.009759,False,False,False,False
2026-01-18 02:00:00+00:00,94990.510000,95065.820000,94887.250000,95009.800000,0,1,0.002685,False,False,False,False
2026-01-18 03:00:00+00:00,95029.120000,95198.280000,95021.820000,95191.420000,0,1,-0.019403,False,False,False,False
2026-01-18 04:00:00+00:00,95155.530000,95191.240000,95071.480000,95099.670000,0,1,-0.018172,False,False,False,False
2026-01-18 05:00:00+00:00,95101.480000,95220.050000,95054.530000,95183.380000,0,1,-0.013947,False,False,False,False
2026-01-18 06:00:00+00:00,95182.050000,95214.360000,95141.660000,95181.610000,0,1,-0.011798,False,False,False,False
2026-01-18 07:00:00+00:00,95150.190000,95186.190000,95035.020000,95043.200000,0,1,0.006917,False,False,True,False
2026-01-18 08:00:00+00:00,95038.260000,95166.260000,95019.990000,95166.260000,0,1,0.009698,False,False,True,False
2026-01-18 09:00:00+00:00,95183.760000,95291.960000,95167.970000,95278.560000,0,1,-0.002526,False,False,True,False
2026-01-18 10:00:00+00:00,95272.880000,95272.880000,95080.020000,95175.330000,0,1,0.000064,False,False,True,False
2026-01-18 11:00:00+00:00,95292.440000,95292.440000,95055.120000,95242.890000,0,1,-0.007684,False,False,True,False
2026-01-18 12:00:00+00:00,95241.400000,95241.400000,95072.740000,95130.770000,0,1,-0.014190,False,False,True,False
2026-01-18 13:00:00+00:00,95098.750000,95192.410000,94945.270000,95152.670000,0,1,-0.009588,False,False,True,False
2026-01-18 14:00:00+00:00,95149.040000,95338.110000,94924.860000,94931.120000,0,0,0.008120,False,False,True,False
2026-01-18 15:00:00+00:00,94949.070000,95124.220000,94898.870000,95062.580000,0,1,0.014349,False,False,True,False
2026-01-18 16:00:00+00:00,95105.630000,95179.250000,95066.280000,95172.670000,0,1,0.010116,False,False,True,False
2026-01-18 17:00:00+00:00,95167.380000,95278.450000,95162.150000,95218.590000,0,1,-0.007857,False,False,True,False
2026-01-18 18:00:00+00:00,95238.970000,95514.460000,95159.380000,95436.800000,0,1,-0.085709,False,True,True,False
2026-01-18 19:00:00+00:00,95485.390000,95510.660000,95345.700000,95377.130000,0,1,-0.311225,False,True,True,False
2026-01-18 20:00:00+00:00,95359.760000,95472.020000,95288.670000,95296.650000,0,1,-0.567572,False,True,True,False
2026-01-18 21:00:00+00:00,95297.260000,95434.830000,95297.260000,95423.370000,0,1,-0.769463,False,True,True,False
2026-01-18 22:00:00+00:00,95412.700000,95529.160000,95404.020000,95488.810000,0,1,-0.772188,False,True,True,False
2026-01-18 23:00:00+00:00,95506.460000,95506.460000,93591.220000,93752.570000,0,0,-0.051886,False,False,True,False
2026-01-19 00:00:00+00:00,93675.570000,93675.570000,92000.000000,92786.350000,0,0,0.019596,False,False,True,False
2026-01-19 01:00:00+00:00,92609.520000,92861.690000,92241.110000,92561.500000,0,0,0.001483,False,False,True,False
2026-01-19 02:00:00+00:00,92564.010000,92769.200000,92453.080000,92607.810000,0,0,-0.013068,False,False,True,False
2026-01-19 03:00:00+00:00,92596.040000,92795.040000,92503.540000,92678.770000,0,0,-0.006583,False,False,True,False
2026-01-19 04:00:00+00:00,92613.580000,92795.000000,92499.250000,92673.160000,0,0,0.001153,False,False,True,False
2026-01-19 05:00:00+00:00,92662.390000,92831.590000,92518.780000,92518.780000,0,0,0.029201,False,False,True,False
2026-01-19 06:00:00+00:00,92526.460000,92693.890000,92519.360000,92560.170000,0,0,0.033625,False,False,True,False
2026-01-19 07:00:00+00:00,92629.260000,92838.860000,92561.300000,92838.860000,0,0,0.013559,False,False,True,False
2026-01-19 08:00:00+00:00,92811.860000,93351.890000,92718.410000,93282.280000,0,0,-0.009023,False,False,True,False
