timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2024-07-16 08:00:00+00:00,62891.88,63826.67,62415.87,63720.8,4.49563,1721131199999,283946.8088423,698,2.45545,155328.3971969,0.0
2024-07-16 12:00:00+00:00,63723.98,64800.0,63094.6,64673.23,15.17004,1721145599999,970662.7008302,1578,13.53833,866483.3558434,0.0
2024-07-16 16:00:00+00:00,64796.79,65000.0,64131.87,64999.0,6.34683,1721159999999,410276.8685671,1382,3.55176,229856.7487357,0.0
2024-07-16 20:00:00+00:00,64998.99,65200.0,64171.26,65029.3,5.61676,1721174399999,364265.4020874,1113,4.0214,261173.476733,0.0
2024-07-17 00:00:00+00:00,65029.3,66068.12,64886.0,65721.68,10.73473,1721188799999,701845.3749262,1816,7.28334,475462.6799271,0.0
2024-07-17 04:00:00+00:00,65678.34,65949.28,65200.0,65277.56,1.70946,1721203199999,112295.7032215,379,1.04027,68377.1701775,0.0
2024-07-17 08:00:00+00:00,65200.04,65434.22,64594.49,64627.41,2.48149,1721217599999,161175.6180991,626,1.66853,108325.5463037,0.0
2024-07-17 12:00:00+00:00,64772.19,65368.89,64550.81,64676.55,6.2199,1721231999999,404207.7013113,1046,3.71402,241374.2854492,0.0
2024-07-17 16:00:00+00:00,64739.85,64739.88,63858.89,64602.0,11.44023,1721246399999,734047.5628747,912,2.06713,132868.3190381,0.0
2024-07-17 20:00:00+00:00,64588.85,64627.07,64087.97,64130.63,4.01491,1721260799999,257978.131589,484,0.68195,43886.7541653,0.0
2024-07-18 00:00:00+00:00,64129.49,65000.0,63944.54,64822.51,8.79667,1721275199999,568100.654001,829,5.33169,345560.7751098,0.0
2024-07-18 04:00:00+00:00,64868.36,65028.35,64407.64,64713.04,5.40974,1721289599999,350520.4384891,344,1.82335,117872.5051216,0.0
2024-07-18 08:00:00+00:00,64696.45,64937.95,64473.14,64702.06,0.76343,1721303999999,49408.1317483,285,0.56583,36627.8690926,0.0
2024-07-18 12:00:00+00:00,64783.59,65090.74,63444.98,63510.45,7.82855,1721318399999,500828.8956738,1070,4.56538,292274.3071042,0.0
2024-07-18 16:00:00+00:00,63522.36,63972.46,63263.5,63658.66,3.43677,1721332799999,218804.7939283,858,1.97514,125901.0851882,0.0
2024-07-18 20:00:00+00:00,63583.96,64120.0,63436.17,63997.25,1.44179,1721347199999,92069.390658,508,0.7149,45636.5265995,0.0
2024-07-19 00:00:00+00:00,63997.25,64216.6,63328.54,64216.6,9.74883,1721361599999,622082.74625,1087,7.76039,495573.0286798,0.0
